Gene Name,Chromosome Name,Gene Start (bp),Gene End (bp),Description
LOC_Os02g24700,Chr2,14333106,14334014,"OsSAUR8 - Auxin-responsive SAUR gene family member, expressed"
LOC_Os05g50960,Chr5,29240182,29242468,"polygalacturonase, putative, expressed"
LOC_Os01g71599,Chr1,41480531,41482391,expressed protein
LOC_Os03g39000,Chr3,21681949,21685051,"inositol-1-monophosphatase, putative, expressed"
LOC_Os02g13810,Chr2,7466238,7470926,"DNA binding protein, putative, expressed"
LOC_Os10g32260,Chr10,16932807,16935826,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os12g12860,Chr12,7112286,7116204,"CAMK_CAMK_like.46 - CAMK includes calcium/calmodulin depedent protein kinases, expressed"
LOC_Os07g11510,Chr7,6336108,6336920,"RAL6 - Seed allergenic protein RA5/RA14/RA17 precursor, expressed"
LOC_Os07g44780,Chr7,26727421,26729979,"GDSL-like lipase/acylhydrolase, putative, expressed"
LOC_Os01g19820,Chr1,11245197,11246756,"universal stress protein domain containing protein, putative, expressed"
LOC_Os06g32240,Chr6,18773302,18774641,"THION9 - Plant thionin family protein precursor, expressed"
LOC_Os06g05950,Chr6,2724123,2726538,expressed protein
LOC_Os10g41510,Chr10,22298890,22308687,"calcineurin B, putative, expressed"
LOC_Os05g40285,Chr5,23671559,23672502,expressed protein
LOC_Os01g16280,Chr1,9221082,9221504,expressed protein
LOC_Os08g09570,Chr8,5532353,5546181,expressed protein
LOC_Os04g04230,Chr4,1971152,1971673,"9-cis-epoxycarotenoid dioxygenase 1, chloroplast precursor, putative, expressed"
LOC_Os01g67790,Chr1,39401181,39401663,"F-box protein interaction domain containing protein, expressed"
LOC_Os12g28790,Chr12,17021331,17022089,expressed protein
LOC_Os07g06620,Chr7,3221592,3229297,"YABBY domain containing protein, putative, expressed"
LOC_Os01g43430,Chr1,24850441,24851298,expressed protein
LOC_Os06g14180,Chr6,7915591,7916556,expressed protein
LOC_Os04g35510,Chr4,21609373,21611533,"CENP-E-like kinetochore protein, putative, expressed"
LOC_Os01g57470,Chr1,33207652,33208693,"EF hand family protein, putative, expressed"
LOC_Os05g47810,Chr5,27403241,27404606,expressed protein
LOC_Os03g15690,Chr3,8656387,8660017,"phosphate carrier protein, mitochondrial precursor, putative, expressed"
LOC_Os01g34970,Chr1,19352055,19359550,"MDR-like ABC transporter, putative, expressed"
LOC_Os04g33160,Chr4,20067814,20068212,hypothetical protein
LOC_Os02g05490,Chr2,2656065,2659128,expressed protein
LOC_Os01g20890,Chr1,11662723,11666347,expressed protein
LOC_Os08g35500,Chr8,22365047,22365672,expressed protein
LOC_Os06g30020,Chr6,17272729,17280405,"PSP domain containing protein, expressed"
LOC_Os03g56080,Chr3,31947140,31947589,hypothetical protein
LOC_Os12g38320,Chr12,23519968,23521281,expressed protein
LOC_Os09g03890,Chr9,1985632,1990885,"octicosapeptide/Phox/Bem1p, putative, expressed"
LOC_Os06g05368,Chr6,2418701,2422485,expressed protein
LOC_Os12g36030,Chr12,22047697,22054209,expressed protein
LOC_Os11g24640,Chr11,14055664,14057545,hypothetical protein
LOC_Os05g38880,Chr5,22807363,22807937,expressed protein
LOC_Os03g04650,Chr3,2199772,2201650,"cytochrome P450 protein, putative, expressed"
LOC_Os07g29640,Chr7,17426381,17429427,expressed protein
LOC_Os12g03410,Chr12,1323539,1326834,expressed protein
LOC_Os07g07260,Chr7,3600677,3610796,"glutamine-dependent NAD, putative, expressed"
LOC_Os08g31120,Chr8,19220448,19224534,expressed protein
LOC_Os02g44111,Chr2,26663263,26667682,"sec20 domain containing protein, expressed"
LOC_Os01g16090,Chr1,9063968,9066787,"RNA binding protein, putative, expressed"
LOC_Os06g10990,Chr6,5745188,5747209,"DnaK family protein, putative, expressed"
LOC_Os08g27960,Chr8,17036274,17036997,hypothetical protein
LOC_Os08g20020,Chr8,11984652,11989799,"octicosapeptide/Phox/Bem1p, putative, expressed"
LOC_Os08g07760,Chr8,4344171,4350502,"BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative, expressed"
LOC_Os02g53500,Chr2,32722940,32727558,"RFC5 - Putative clamp loader of PCNA, replication factor C subunit 5, expressed"
LOC_Os12g23630,Chr12,13412936,13413223,"ATP synthase subunit alpha, mitochondrial, putative, expressed"
LOC_Os02g46120,Chr2,28108632,28113427,"regulatory protein, putative, expressed"
LOC_Os01g43280,Chr1,24739092,24741088,"hydroquinone glucosyltransferase, putative, expressed"
LOC_Os12g03180,Chr12,1212877,1216296,"Mad3/BUB1 homology region 1 domain containing protein, expressed"
LOC_Os06g13020,Chr6,7128119,7133515,"DNA polymerase lambda, putative, expressed"
LOC_Os03g18570,Chr3,10393654,10395829,"40S ribosomal protein S7, putative, expressed"
LOC_Os02g51820,Chr2,31747712,31749762,expressed protein
LOC_Os12g36930,Chr12,22641390,22643087,expressed protein
LOC_Os07g44950,Chr7,26809796,26813252,"bZIP transcription factor domain containing protein, expressed"
LOC_Os10g38970,Chr10,20768491,20777359,"ethylene-responsive element-binding protein, putative, expressed"
LOC_Os01g64620,Chr1,37505155,37506089,"zinc finger, C3HC4 type domain containing protein, expressed"
LOC_Os11g16540,Chr11,9156589,9173338,"tetratricopeptide repeat domain containing protein, expressed"
LOC_Os07g27850,Chr7,16259328,16262134,"GTPase activating protein, putative, expressed"
LOC_Os11g24484,Chr11,13956401,13964490,"estradiol 17-beta-dehydrogenase 12, putative, expressed"
LOC_Os10g32860,Chr10,17198438,17200572,expressed protein
LOC_Os02g51500,Chr2,31535307,31538773,"membrane-anchored ubiquitin-fold protein, putative, expressed"
LOC_Os03g36780,Chr3,20403002,20417526,"elongation factor, putative, expressed"
LOC_Os01g73720,Chr1,42706524,42707981,"RCLEA4 - Root cap and Late embryogenesis related family protein precursor, expressed"
LOC_Os04g55930,Chr4,33311013,33313051,expressed protein
LOC_Os01g63720,Chr1,36960760,36961166,hypothetical protein
LOC_Os06g12800,Chr6,6995343,6996671,expressed protein
LOC_Os11g35360,Chr11,20729532,20731541,"actin polymerization factor, putative, expressed"
LOC_Os09g21620,Chr9,13089122,13090255,"OsFBX325 - F-box domain containing protein, expressed"
LOC_Os12g15410,Chr12,8798352,8798663,hypothetical protein
LOC_Os08g06330,Chr8,3508751,3512007,"zinc finger C-x8-C-x5-C-x3-H type family protein, expressed"
LOC_Os06g42430,Chr6,25498385,25501755,expressed protein
LOC_Os07g37840,Chr7,22693157,22694492,"lipase, putative, expressed"
LOC_Os10g20139,Chr10,10107800,10112468,expressed protein
LOC_Os04g38850,Chr4,23094207,23095901,expressed protein
LOC_Os02g57620,Chr2,35286785,35290716,"Citrate transporter protein, putative, expressed"
LOC_Os12g44170,Chr12,27398576,27403415,"pentatricopeptide, putative, expressed"
LOC_Os08g10800,Chr8,6358775,6359320,expressed protein
LOC_Os03g63400,Chr3,35822112,35824358,"transcription factor BTF3, putative, expressed"
LOC_Os03g60279,Chr3,34283942,34287968,"cinnamoyl-CoA reductase family, putative, expressed"
LOC_Os07g15430,Chr7,8926122,8928964,expressed protein
LOC_Os10g35530,Chr10,19002214,19004174,"hydrolase, alpha/beta fold family domain containing protein, expressed"
LOC_Os05g36184,Chr5,21451508,21455835,expressed protein
LOC_Os03g28160,Chr3,16209132,16210085,"jacalin-like lectin domain containing protein, expressed"
LOC_Os02g02590,Chr2,938314,941308,"PPR repeat domain containing protein, putative, expressed"
LOC_Os01g55799,Chr1,32137366,32143435,"exo70 exocyst complex subunit domain containing protein, expressed"
LOC_Os01g69200,Chr1,40215071,40216944,"regulatory protein, putative, expressed"
LOC_Os07g44310,Chr7,26471576,26473120,"heat shock protein DnaJ, putative, expressed"
LOC_Os08g42680,Chr8,26981014,26982303,expressed protein
LOC_Os03g51930,Chr3,29788461,29791210,expressed protein
LOC_Os01g64480,Chr1,37415815,37416480,"harpin-induced protein 1 domain containing protein, expressed"
LOC_Os12g40570,Chr12,25100479,25104175,"WRKY94, expressed"
LOC_Os12g31280,Chr12,18825068,18826615,"transposon protein, putative, CACTA, En/Spm sub-class"
LOC_Os03g48370,Chr3,27536734,27543081,"disease resistance RPP13-like protein 1, putative, expressed"
LOC_Os01g43851,Chr1,25119734,25121927,"cytochrome P450 72A1, putative, expressed"
LOC_Os12g14480,Chr12,8266313,8270125,"cysteine-rich receptor-like protein kinase 23 precursor, putative, expressed"
LOC_Os01g55795,Chr1,32143762,32145285,expressed protein
LOC_Os02g01080,Chr2,42230,43816,expressed protein
LOC_Os04g57550,Chr4,34239804,34243195,"amine oxidase, flavin-containing, domain containing protein, expressed"
LOC_Os06g34060,Chr6,19833723,19835250," proteins of unknown function domain containing protein, expressed"
LOC_Os03g61740,Chr3,35002598,35004190,"sex determination protein tasselseed-2, putative, expressed"
LOC_Os03g49960,Chr3,28474134,28483671,expressed protein
LOC_Os05g29170,Chr5,17135217,17135905,expressed protein
LOC_Os01g39910,Chr1,22505295,22505558,expressed protein
LOC_Os07g36320,Chr7,21721660,21722671,"OsFBX244 - F-box domain containing protein, expressed"
LOC_Os08g17870,Chr8,10960042,10967308,"reticulon domain containing protein, putative, expressed"
LOC_Os05g14900,Chr5,8460494,8462445,expressed protein
LOC_Os03g47960,Chr3,27265560,27268578,expressed protein
LOC_Os01g73900,Chr1,42821164,42825125,"DEAD-box ATP-dependent RNA helicase, putative, expressed"
LOC_Os07g32890,Chr7,19658119,19668106,"3'-5' exonuclease, putative, expressed"
LOC_Os04g25510,Chr4,14795251,14795451,hypothetical protein
LOC_Os05g06700,Chr5,3489166,3492295,expressed protein
LOC_Os11g14380,Chr11,8072444,8078086,"resistance protein LR10, putative, expressed"
LOC_Os06g51140,Chr6,30935754,30936612,"ZOS6-11 - C2H2 zinc finger protein, expressed"
LOC_Os02g22120,Chr2,13169863,13171849,expressed protein
LOC_Os02g42720,Chr2,25689316,25690280,expressed protein
LOC_Os03g15960,Chr3,8805567,8806601,"hsp20/alpha crystallin family protein, putative, expressed"
LOC_Os03g06070,Chr3,3039736,3045376,"la domain containing protein, putative, expressed"
LOC_Os09g38350,Chr9,22082637,22084897,"AMP-binding domain containing protein, expressed"
LOC_Os12g14210,Chr12,8073590,8074010,expressed protein
LOC_Os01g16260,Chr1,9203963,9211788,"major facilitator superfamily antiporter, putative, expressed"
LOC_Os03g57430,Chr3,32744711,32751063,expressed protein
LOC_Os10g37350,Chr10,20011499,20011946,expressed protein
LOC_Os12g13530,Chr12,7592015,7594236,hypothetical protein
LOC_Os04g23620,Chr4,13521361,13524415,"D-mannose binding lectin family protein, expressed"
LOC_Os11g20740,Chr11,12006865,12007160,expressed protein
LOC_Os01g69279,Chr1,40275509,40278162,expressed protein
LOC_Os02g47290,Chr2,28875233,28876717,hypothetical protein
LOC_Os10g13830,Chr10,7514954,7519284,"pleiotropic drug resistance protein 13, putative, expressed"
LOC_Os10g22110,Chr10,11418712,11421321,expressed protein
LOC_Os08g11300,Chr8,6640626,6646272,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os11g02500,Chr11,777055,777569,hypothetical protein
LOC_Os01g34900,Chr1,19281427,19282266,"GLUCAN SYNTHASE-LIKE protein, putative, expressed"
LOC_Os10g38214,Chr10,20468369,20468974,"chloroplast 30S ribosomal protein S4, putative, expressed"
LOC_Os06g40030,Chr6,23812298,23815104,"S-locus-like receptor protein kinase, putative, expressed"
LOC_Os10g30080,Chr10,15621355,15624800,"xylosyltransferase, putative, expressed"
LOC_Os06g16670,Chr6,9595735,9599681,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os07g25050,Chr7,14292224,14292742,"thionin-like peptide, putative, expressed"
LOC_Os03g53790,Chr3,30835598,30838177,"periplasmic beta-glucosidase precursor, putative, expressed"
LOC_Os01g13440,Chr1,7484910,7485733,"pollen allergen Cyn d 23, putative, expressed"
LOC_Os01g68340,Chr1,39710856,39712912,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os01g68780,Chr1,39953780,39954211,expressed protein
LOC_Os01g58680,Chr1,33919393,33924664,"apurinic endonuclease-redox protein, putative, expressed"
LOC_Os04g30220,Chr4,18032077,18032454,expressed protein
LOC_Os02g50840,Chr2,31064064,31071265,"BAH domain containing protein, putative, expressed"
LOC_Os02g12580,Chr2,6572759,6577608,"OsPP2Ac-3 - Phosphatase 2A isoform 3 belonging to family 1, expressed"
LOC_Os11g25780,Chr11,14705215,14714572,"PB1 domain containing protein, expressed"
LOC_Os02g49870,Chr2,30471980,30474465,expressed protein
LOC_Os04g32710,Chr4,19712823,19714034,"40S ribosomal protein S27, putative, expressed"
LOC_Os04g10790,Chr4,5861012,5862070,expressed protein
LOC_Os06g12370,Chr6,6701247,6704416,"OsFtsH6 FtsH protease, homologue of AtFtsH6, expressed"
LOC_Os02g43300,Chr2,26099235,26103142,expressed protein
LOC_Os08g34430,Chr8,21612086,21612829,expressed protein
LOC_Os11g18700,Chr11,10589201,10593270,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os04g02900,Chr4,1135879,1139939,"dehydrogenase E1 component domain containing protein, expressed"
LOC_Os03g24900,Chr3,14183628,14188181,"DHHC zinc finger domain containing protein, expressed"
LOC_Os03g05060,Chr3,2466458,2468340,"exostosin family domain containing protein, expressed"
LOC_Os02g20710,Chr2,12211702,12211988,expressed protein
LOC_Os02g15870,Chr2,8976765,8981140,"molybdenum cofactor biosynthesis protein 1, putative, expressed"
LOC_Os01g54560,Chr1,31373407,31377545,"trehalose synthase, putative, expressed"
LOC_Os07g35620,Chr7,21325701,21326363,expressed protein
LOC_Os03g09130,Chr3,4760611,4763101,expressed protein
LOC_Os04g02990,Chr4,1218482,1221429,"subtilisin-like protease, putative, expressed"
LOC_Os12g33890,Chr12,20428632,20431557,"retrotransposon protein, putative, Ty3-gypsy subclass"
LOC_Os08g27700,Chr8,16873597,16875657,expressed protein
LOC_Os06g50724,Chr6,30688275,30691819,"START domain containing protein, expressed"
LOC_Os03g19452,Chr3,10939118,10944194,"SMP-30/Gluconolaconase/LRE domain protein, putative, expressed"
LOC_Os08g09320,Chr8,5400910,5404343,"YL1 nuclear protein C-terminal domain containing protein, expressed"
LOC_Os03g38250,Chr3,21233600,21237936,"disease resistance RPP13-like protein 1, putative, expressed"
LOC_Os01g55290,Chr1,31825966,31830182,"PPR repeat domain containing protein, putative, expressed"
LOC_Os10g28350,Chr10,14751950,14754326,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase protein, putative, expressed"
LOC_Os05g28010,Chr5,16343854,16346618,"TATA-binding protein-associated factor TAFII55 family protein, putative, expressed"
LOC_Os06g07780,Chr6,3773667,3776566,"vesicle-associated membrane protein, putative, expressed"
LOC_Os08g38100,Chr8,24137270,24138382,"LTPL131 - Protease inhibitor/seed storage/LTP family protein precursor, putative, expressed"
LOC_Os05g13820,Chr5,7682959,7683834,expressed protein
LOC_Os12g09120,Chr12,4763185,4775463,"mRNA-capping enzyme, putative, expressed"
LOC_Os04g48790,Chr4,29106041,29109606,"rhoGAP domain containing protein, expressed"
LOC_Os04g07890,Chr4,4216641,4218582,"AGAP002737-PA, putative, expressed"
LOC_Os03g43060,Chr3,24018612,24023409,"OsFBX96 - F-box domain containing protein, expressed"
LOC_Os10g29470,Chr10,15303901,15309302,"dehydrogenase, putative, expressed"
LOC_Os10g33650,Chr10,17739202,17744567,"CK1_CaseinKinase_1.9 - CK1 includes the casein kinase 1 kinases, expressed"
LOC_Os01g51120,Chr1,29364527,29368029,"vesicle transport v-SNARE protein, putative, expressed"
LOC_Os07g25410,Chr7,14520331,14524569,"peptidase, M24 family protein, putative, expressed"
LOC_Os06g22640,Chr6,13161181,13161417,expressed protein
LOC_Os02g53320,Chr2,32643525,32644843,"universal stress protein domain containing protein, putative, expressed"
LOC_Os04g38970,Chr4,23148230,23151738,"protein binding protein, putative, expressed"
LOC_Os03g52258,Chr3,30013876,30014195,expressed protein
LOC_Os03g02550,Chr3,942694,945066,"OsFBX76 - F-box domain containing protein, expressed"
LOC_Os06g47760,Chr6,28905577,28909089,"phytosulfokine receptor precursor, putative, expressed"
LOC_Os11g12350,Chr11,6896964,6898774,"disease resistance protein, putative, expressed"
LOC_Os02g40630,Chr2,24635562,24635999,expressed protein
LOC_Os03g18180,Chr3,10187429,10190331,"ranBP1 domain containing protein, expressed"
LOC_Os07g48596,Chr7,29091952,29094140,"Myb transcription factor, putative, expressed"
LOC_Os01g32080,Chr1,17560756,17564948,"thiamine pyrophosphate enzyme, C-terminal TPP binding domain containing protein, expressed"
LOC_Os03g43430,Chr3,24220021,24222271,"mttA/Hcf106 family protein, putative, expressed"
LOC_Os10g03090,Chr10,1300989,1301363,expressed protein
LOC_Os02g46560,Chr2,28390170,28393248,"helix-loop-helix DNA-binding protein, putative, expressed"
LOC_Os10g22960,Chr10,11947165,11951353,"hydrolase protein, putative, expressed"
LOC_Os12g03899,Chr12,1606073,1620845,"major facilitator superfamily antiporter, putative, expressed"
LOC_Os05g30490,Chr5,17664455,17665237,"harpin-induced protein 1 domain containing protein, expressed"
LOC_Os01g34990,Chr1,19364101,19364845,expressed protein
LOC_Os06g37670,Chr6,22315607,22319017,"S-locus-like receptor protein kinase, putative, expressed"
LOC_Os03g54840,Chr3,31173386,31174892,hypothetical protein
LOC_Os08g39490,Chr8,24986083,24991220,expressed protein
LOC_Os02g43660,Chr2,26343570,26345481,"plastocyanin-like domain containing protein, putative, expressed"
LOC_Os03g53310,Chr3,30596382,30599551,"emp24/gp25L/p24 family protein, putative, expressed"
LOC_Os11g30552,Chr11,17776137,17781092,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os08g08200,Chr8,4676286,4680501,"mRNA cap guanine-N7 methyltransferase 1, putative, expressed"
LOC_Os11g15280,Chr11,8631629,8635205,"TNP1, putative, expressed"
LOC_Os06g13650,Chr6,7563724,7571102,"alpha-mannosidase 2, putative, expressed"
LOC_Os03g51980,Chr3,29827496,29828497,expressed protein
LOC_Os12g40419,Chr12,25015035,25026462,"protein kinase domain containing protein, expressed"
LOC_Os01g66310,Chr1,38516417,38516837,expressed protein
LOC_Os10g33960,Chr10,18085536,18092500,"START domain containing protein, expressed"
LOC_Os03g43760,Chr3,24476011,24480930,"protein kinase domain containing protein, expressed"
LOC_Os08g31810,Chr8,19721207,19725996,"RNA recognition motif containing protein, putative, expressed"
LOC_Os04g58140,Chr4,34626345,34631340,"elongation factor Tu, putative, expressed"
LOC_Os07g06860,Chr7,3351132,3352672,"gibberellin receptor GID1L2, putative, expressed"
LOC_Os08g29200,Chr8,17904215,17906771,"BURP domain containing protein, expressed"
LOC_Os07g27100,Chr7,15713055,15713354,hypothetical protein
LOC_Os05g51650,Chr5,29623192,29624800,"LSM domain containing protein, expressed"
LOC_Os03g21620,Chr3,12340180,12344341,"AGC_AGC_other_RS6K_like.1 - ACG kinases include homologs to PKA, PKG and PKC, expressed"
LOC_Os10g33104,Chr10,17345537,17350072,expressed protein
LOC_Os04g33790,Chr4,20466208,20469276,expressed protein
LOC_Os06g24540,Chr6,14386815,14390244,expressed protein
LOC_Os02g49560,Chr2,30295609,30296118,"bZIP transcription factor domain containing protein, expressed"
LOC_Os03g50810,Chr3,29015978,29020079,"receptor protein kinase TMK1 precursor, putative, expressed"
LOC_Os03g37840,Chr3,21002792,21007629,"potassium transporter, putative, expressed"
LOC_Os06g14970,Chr6,8491584,8493920,hypothetical protein
LOC_Os03g58260,Chr3,33193735,33198099,"indole-3-glycerol phosphate lyase, chloroplast precursor, putative, expressed"
LOC_Os03g56190,Chr3,32017644,32019548,"cytochrome c oxidase-related, putative, expressed"
LOC_Os05g30930,Chr5,17961391,17961591,hypothetical protein
LOC_Os04g54330,Chr4,32339069,32342426,"acetyltransferase, GNAT family, putative, expressed"
LOC_Os09g31330,Chr9,18837405,18838157,hypothetical protein
LOC_Os03g17000,Chr3,9445273,9448703,"NAD dependent epimerase/dehydratase family domain containing protein, expressed"
LOC_Os11g04150,Chr11,1681093,1688099,"major facilitator superfamily antiporter, putative, expressed"
LOC_Os03g30300,Chr3,17288029,17293126,"6-phosphogluconolactonase, putative, expressed"
LOC_Os07g12210,Chr7,6833917,6834987,expressed protein
LOC_Os10g26430,Chr10,13756390,13763399,"agenet domain containing protein, expressed"
LOC_Os04g35180,Chr4,21376942,21379536,"co-chaperone GrpE protein, putative, expressed"
LOC_Os10g27440,Chr10,14470127,14470683,expressed protein
LOC_Os12g12980,Chr12,7190284,7190833,hypothetical protein
LOC_Os04g06300,Chr4,3295899,3299480,expressed protein
LOC_Os08g27870,Chr8,16994594,16996882,"EARLY flowering protein, putative, expressed"
LOC_Os02g10260,Chr2,5373056,5380164,"outer membrane protein, OMP85 family protein, expressed"
LOC_Os02g49690,Chr2,30364405,30365822,"ACT domain-containing protein, putative, expressed"
LOC_Os09g38330,Chr9,22048464,22057029,"MORN repeat domain containing protein, expressed"
LOC_Os03g44410,Chr3,24994862,24995707,expressed protein
LOC_Os09g28460,Chr9,17315508,17317450,"xyloglucan fucosyltransferase, putative, expressed"
LOC_Os03g61780,Chr3,35025919,35028771,"glucan endo-1,3-beta-glucosidase-related, putative, expressed"
LOC_Os01g11830,Chr1,6396150,6397294,"oryzain alpha chain precursor, putative, expressed"
LOC_Os11g40740,Chr11,24366983,24367591,expressed protein
LOC_Os06g46754,Chr6,28390331,28396007,"RIC10, putative, expressed"
LOC_Os01g58770,Chr1,33967897,33968265,expressed protein
LOC_Os08g07390,Chr8,4147048,4149998,"mla1, putative, expressed"
LOC_Os02g22100,Chr2,13156576,13164110,"OsRhmbd6 - Putative Rhomboid homologue, expressed"
LOC_Os09g23420,Chr9,13919744,13920869,expressed protein
LOC_Os03g44430,Chr3,25001591,25003485,"ubiquitin carboxyl-terminal hydrolase, family 1, putative, expressed"
LOC_Os11g14544,Chr11,8163352,8170154,expressed protein
LOC_Os11g29850,Chr11,17329608,17332992,"ABC transporter, ATP-binding protein, putative, expressed"
LOC_Os09g12270,Chr9,6990893,6994473,"peptidyl-prolyl cis-trans isomerase, FKBP-type, putative, expressed"
LOC_Os02g51290,Chr2,31407145,31409724,"HVA22, putative, expressed"
LOC_Os01g59520,Chr1,34417077,34420330,"cupin, RmlC-type, putative, expressed"
LOC_Os08g24370,Chr8,14708358,14709908,"OsFBX287 - F-box domain containing protein, expressed"
LOC_Os11g28710,Chr11,16610177,16610437,expressed protein
LOC_Os07g08570,Chr7,4425618,4426792,"OsFBX218 - F-box domain containing protein, expressed"
LOC_Os08g33830,Chr8,21173418,21179201,"polypyrimidine tract-binding protein, putative, expressed"
LOC_Os09g38640,Chr9,22223040,22224816,"IBR domain containing protein, putative, expressed"
LOC_Os04g46540,Chr4,27596937,27597608,expressed protein
LOC_Os06g25250,Chr6,14770312,14773944,"endoribonuclease Dicer, putative, expressed"
LOC_Os07g08530,Chr7,4403712,4405496,"auxin response factor, putative, expressed"
LOC_Os02g30210,Chr2,17958496,17961723,"OsFBK7 - F-box domain and kelch repeat containing protein, expressed"
LOC_Os10g21940,Chr10,11304991,11317070,expressed protein
LOC_Os09g20180,Chr9,12089742,12093910,expressed protein
LOC_Os01g41500,Chr1,23487723,23490625,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os04g32840,Chr4,19826312,19827902,"formin-like protein 20, putative, expressed"
LOC_Os04g08815,Chr4,4859399,4859668,expressed protein
LOC_Os06g45950,Chr6,27830246,27831317,"OsSAUR25 - Auxin-responsive SAUR gene family member, expressed"
LOC_Os01g43980,Chr1,25203326,25210615,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os04g40410,Chr4,24018289,24019456,"high affinity nitrate transporter, putative, expressed"
LOC_Os10g40260,Chr10,21569340,21580696,expressed protein
LOC_Os03g53510,Chr3,30689440,30693101,"WD domain, G-beta repeat domain containing protein, expressed"
LOC_Os08g09230,Chr8,5352105,5363367,"starch synthase III, putative, expressed"
LOC_Os03g49220,Chr3,28035486,28038970,"adenylosuccinate synthetase, chloroplast precursor, putative, expressed"
LOC_Os01g64890,Chr1,37664117,37667349,"CorA-like magnesium transporter protein, putative, expressed"
LOC_Os01g38660,Chr1,21715723,21716605,expressed protein
LOC_Os02g41560,Chr2,24923868,24925349,"pentatricopeptide, putative, expressed"
LOC_Os01g07010,Chr1,3303523,3304092,"POEI38 - Pollen Ole e I allergen and extensin family protein precursor, putative, expressed"
LOC_Os01g53990,Chr1,31055593,31058475,"pectinesterase, putative, expressed"
LOC_Os06g47770,Chr6,28910275,28914944,expressed protein
LOC_Os01g55850,Chr1,32165440,32165796,expressed protein
LOC_Os06g13570,Chr6,7488066,7496669,expressed protein
LOC_Os09g17750,Chr9,10849736,10853196,"oxidoreductase, short chain dehydrogenase/reductase family domain containing protein, expressed"
LOC_Os04g51860,Chr4,30750766,30752159,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os09g24970,Chr9,14917136,14918912,expressed protein
LOC_Os02g26380,Chr2,15492808,15493280,expressed protein
LOC_Os06g23800,Chr6,13905082,13909018,"flavin-containing monooxygenase family protein, putative, expressed"
LOC_Os11g28230,Chr11,16230830,16234422,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os10g16870,Chr10,8406015,8409743,"zinc knuckle family protein, expressed"
LOC_Os05g22990,Chr5,13106577,13115821,expressed protein
LOC_Os02g53900,Chr2,33004249,33004632,expressed protein
LOC_Os09g33450,Chr9,19702022,19706618,"zinc finger DHHC domain-containing protein, putative, expressed"
LOC_Os11g03680,Chr11,1433750,1435203,"OsFBX395 - F-box domain containing protein, expressed"
LOC_Os01g02980,Chr1,1120319,1126749,expressed protein
LOC_Os07g25790,Chr7,14817992,14818497,expressed protein
LOC_Os03g01180,Chr3,120877,122838,"phosphoglycerate mutase, putative, expressed"
LOC_Os05g25040,Chr5,14489386,14494422,expressed protein
LOC_Os04g17100,Chr4,9367935,9369158,"heavy metal-associated domain containing protein, expressed"
LOC_Os09g19600,Chr9,11719720,11722662,"retrotransposon protein, putative, Ty3-gypsy subclass"
LOC_Os06g12850,Chr6,7031413,7032804,expressed protein
LOC_Os02g06760,Chr2,3411220,3415305,expressed protein
LOC_Os11g11070,Chr11,6114794,6127569,"mRNA-capping enzyme, putative, expressed"
LOC_Os04g36859,Chr4,22246672,22249716,"signal peptidase complex subunit 2, putative, expressed"
LOC_Os07g44620,Chr7,26628439,26631263,"eukaryotic translation initiation factor 6, putative, expressed"
LOC_Os04g16740,Chr4,9123602,9125252,"ATP synthase subunit alpha, putative, expressed"
LOC_Os10g39020,Chr10,20796325,20799413,"fringe-related protein, putative, expressed"
LOC_Os01g45780,Chr1,26003477,26004172,expressed protein
LOC_Os08g31970,Chr8,19826775,19829675,"NHL repeat-containing protein, putative, expressed"
LOC_Os04g40140,Chr4,23885498,23889561,expressed protein
LOC_Os08g28400,Chr8,17320537,17323238,expressed protein
LOC_Os10g20810,Chr10,10554090,10557037,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os02g49050,Chr2,29984554,29987659,"transmembrane 9 superfamily member, putative, expressed"
LOC_Os08g29370,Chr8,18020081,18023998,"peptidyl-prolyl cis-trans isomerase, chloroplast precursor, putative, expressed"
LOC_Os08g34190,Chr8,21433598,21436735,"stromal cell-derived factor 2-like protein precursor, putative, expressed"
LOC_Os10g22450,Chr10,11624392,11629635,"inositol-3-phosphate synthase, putative, expressed"
LOC_Os02g30114,Chr2,17887846,17889823,expressed protein
LOC_Os06g04560,Chr6,1973529,1983163,"kinesin motor domain containing protein, expressed"
LOC_Os10g04620,Chr10,2201493,2206735,"OsPOP20 - Putative Prolyl Oligopeptidase homologue, expressed"
LOC_Os02g12380,Chr2,6447078,6453173,"histone deacetylase, putative, expressed"
LOC_Os07g09050,Chr7,4729466,4733531,"exostosin family protein, putative, expressed"
